ID_ALUNO,IDADE,ANO_INGRESSO,FORMA_INGRESSO,ANO_EVASAO,FORMA_EVASAO,NATURALIDADE,ETNIA,DEFICIENCIAS,COTAS,BOLSA
000DD3543AC84D906EAE52E7C779BB2A,Menos de 19 anos,2017,Processo Seletivo - SiSU,2022,Formado,Ariquemes-RO,Branca,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda,Possuia
001E1AFAA21E768F77F6A83F6279E9F3,19-25 anos,2023,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
00AFB001D1072E57F9A488C65E5B1947,19-25 anos,2018,Processo Seletivo - SiSU,2022,Jubilamento,Rio Branco-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda PPI,Não Possuia
00EFE3D30E8D51AE61FA5D5C96478A95,Menos de 19 anos,2017,Processo Seletivo - SiSU,2021,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
01044CFD18DD5C0CDE26733C11A3B542,Menos de 19 anos,2010,Vestibular,2014,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
0139266877771D61F301725CD29CDB86,Menos de 19 anos,2012,Enem,2015,Desistencia,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
014C073EF65E4A7EF73ACD61CF606164,19-25 anos,2016,Transferencia Externa,2022,Jubilamento,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Não Possuia
014CEC6EA89E4BFBCB911F6845A96D55,Menos de 19 anos,2017,Processo Seletivo - SiSU,2020,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda,Possuia
01CC35F5215D76108F9789902A8881DC,19-25 anos,2016,Transferencia Externa,,Sem Evasao,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
01E4BB6467B09E8AA75F20620C9C21DE,26-35 anos,2015,Processo Seletivo - SiSU,2017,Jubilamento,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Geral,Não Possuia
01F6C1D0375303D0D55E5AEB875CDF59,Acima de 35 anos,2022,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica Independente de Renda PPI,Não Possuia
025656EE7E26CC93F4578C3106676F42,26-35 anos,2016,Transferencia Externa,2018,Jubilamento,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Não Possuia
02E8CA2AD17D56E17E1FC2EDCBEE4D40,Menos de 19 anos,2011,Vestibular,2017,Formado,Rio Branco-AC,Branca,Outras Necessidades,Ampla Concorrencia,Possuia
035EB76E8E1199879473DB82502D31DC,Menos de 19 anos,2008,Vestibular,2016,Desistencia,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
03F396A359EF22A21E37B7B45F4D9979,Menos de 19 anos,2011,Vestibular,2017,Jubilamento,Cruzeiro do Sul-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
