ID_ALUNO,IDADE,ANO_INGRESSO,FORMA_INGRESSO,ANO_EVASAO,FORMA_EVASAO,NATURALIDADE,ETNIA,DEFICIENCIAS,COTAS,BOLSA
000DD3543AC84D906EAE52E7C779BB2A,Ingressantes mais jovens (Menos de 19 anos),2017,Processo Seletivo - SiSU,2022,Formado,Ariquemes-RO,Branca,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda,Possuia
001E1AFAA21E768F77F6A83F6279E9F3,Idade tipica de universitarios regulares (19-25 anos),2023,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
00AFB001D1072E57F9A488C65E5B1947,Idade tipica de universitarios regulares (19-25 anos),2018,Processo Seletivo - SiSU,2022,Jubilamento,Rio Branco-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda PPI,Não Possuia
00EFE3D30E8D51AE61FA5D5C96478A95,Ingressantes mais jovens (Menos de 19 anos),2017,Processo Seletivo - SiSU,2021,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
01044CFD18DD5C0CDE26733C11A3B542,Ingressantes mais jovens (Menos de 19 anos),2010,Vestibular,2014,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
0139266877771D61F301725CD29CDB86,Ingressantes mais jovens (Menos de 19 anos),2012,Enem,2015,Desistencia,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
013D407166EC4FA56EB1E1F8CBE183B9,Ingressantes mais jovens (Menos de 19 anos),2000,Vestibular,2005,Formado,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Não Possuia
014C073EF65E4A7EF73ACD61CF606164,Idade tipica de universitarios regulares (19-25 anos),2016,Transferencia Externa,2022,Jubilamento,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Não Possuia
014CEC6EA89E4BFBCB911F6845A96D55,Ingressantes mais jovens (Menos de 19 anos),2017,Processo Seletivo - SiSU,2020,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda,Possuia
01CC35F5215D76108F9789902A8881DC,Idade tipica de universitarios regulares (19-25 anos),2016,Transferencia Externa,,Sem Evasao,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
